,Per,Per,Per,Per,Per,Per,Per,Per,Per,Per,Per,Per,Per,Per,Shoo,Shoo,Shoo,-additional
Player,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,-9999
Precious Achiuwa,5.8,12.4,1.1,2.9,1.9,3.2,3.1,9.9,1.8,0.8,0.9,1.8,3.3,14.5,.467,.367,.595,achiupr01
Steven Adams,4.2,7.5,0.1,0.3,1.9,3.5,5.5,12.7,3.9,1.2,1.0,2.0,2.7,10.4,.559,.321,.536,adamsst01
Bam Adebayo,7.7,13.7,0.1,0.4,4.8,6.2,2.6,10.6,4.6,1.4,1.0,2.8,2.9,20.3,.563,.279,.765,adebaba01
Santi Aldama,5.7,13.1,1.0,4.9,2.2,3.2,2.8,8.2,2.7,0.8,0.9,1.7,3.3,14.6,.432,.210,.683,aldamsa01
LaMarcus Aldridge,8.0,15.6,0.9,2.7,2.8,3.3,2.0,7.9,2.0,0.6,1.5,1.6,2.7,19.7,.511,.346,.850,aldrila01
Nickeil Alexander-Walker,6.4,16.3,2.6,7.9,2.0,2.6,0.9,5.0,3.9,1.3,0.6,2.3,2.7,17.5,.396,.330,.747,alexani01
Grayson Allen,5.2,11.6,3.1,7.6,1.6,1.9,0.7,4.6,2.4,1.0,0.3,1.1,2.0,15.0,.445,.404,.857,allengr01
Jarrett Allen,6.8,10.4,0.1,0.5,3.5,4.9,3.8,12.1,2.1,0.8,1.6,1.8,2.0,17.2,.652,.290,.708,allenja01
Jose Alvarado,5.8,12.7,1.5,4.8,1.7,2.5,1.2,4.8,6.2,2.8,0.4,1.8,3.1,14.9,.456,.309,.707,alvarjo01
Justin Anderson,4.7,11.7,1.8,6.3,1.9,2.5,0.8,5.8,3.7,1.0,0.7,1.3,2.7,13.1,.404,.278,.777,anderju01
Kyle Anderson,5.3,11.7,1.2,3.6,2.0,2.9,1.4,8.2,4.5,1.7,1.1,1.7,2.6,13.9,.455,.343,.707,anderky01
Giannis Antetokounmpo,11.1,20.1,1.2,4.1,8.1,11.5,2.1,12.5,6.3,1.2,1.4,3.6,3.3,31.6,.555,.301,.706,antetgi01
Thanasis Antetokounmpo,5.2,10.2,0.5,2.1,2.1,3.4,2.9,7.6,2.5,1.3,0.8,2.3,4.7,13.0,.509,.258,.613,antetth01
Carmelo Anthony,6.4,15.1,2.7,7.2,2.7,3.2,1.1,5.5,1.7,0.9,0.9,1.4,3.3,18.2,.425,.375,.841,anthoca01
Cole Anthony,6.4,15.6,2.2,6.3,3.6,4.3,0.7,6.3,6.2,0.9,0.4,2.9,2.9,18.6,.408,.349,.852,anthoco01
OG Anunoby,6.3,13.5,2.3,6.2,1.9,2.5,1.5,5.8,2.6,1.5,0.6,1.7,2.8,16.8,.464,.379,.764,anunoog01
Ryan Arcidiacono,4.3,9.7,2.0,5.2,1.3,1.8,0.7,5.2,3.8,0.9,0.2,1.4,3.4,11.8,.439,.382,.723,arcidry01
Trevor Ariza,3.7,9.3,1.8,5.7,1.3,1.9,1.0,6.1,2.4,1.2,0.6,1.1,2.3,10.5,.393,.318,.720,arizatr01
D.J. Augustin,4.2,10.4,2.5,6.4,2.3,2.6,0.6,3.2,5.0,0.8,0.1,2.2,1.8,13.2,.408,.386,.877,augusdj01
Deni Avdija,4.6,10.3,1.6,4.7,1.7,2.3,0.9,7.8,2.9,1.1,0.7,1.4,3.5,12.4,.443,.330,.753,avdijde01
Joel Ayayi,5.7,12.8,1.7,4.8,2.3,2.9,1.6,6.7,4.2,1.0,0.6,1.8,2.6,15.5,.447,.350,.783,ayayijo01
Deandre Ayton,8.6,13.8,0.2,0.6,2.3,3.0,3.4,12.3,1.9,0.8,1.1,1.9,3.1,19.6,.624,.337,.762,aytonde01
Udoka Azubuike,6.3,10.6,0.8,2.2,2.0,2.9,2.5,10.2,1.6,0.6,1.5,2.1,3.9,15.5,.596,.364,.706,azubuud01
Marvin Bagley III,7.4,14.6,1.0,3.3,2.3,3.5,3.2,10.4,1.5,0.7,0.6,1.5,3.0,18.2,.510,.292,.653,baglema01
LaMelo Ball,7.9,17.8,3.1,7.7,3.2,3.8,1.6,7.6,8.3,1.8,0.5,3.4,3.4,22.1,.446,.395,.848,ballla01
Lonzo Ball,5.4,12.6,3.2,8.0,0.9,1.2,1.0,5.9,6.0,1.8,0.8,2.5,2.4,14.9,.426,.403,.745,balllo01
Mo Bamba,6.1,12.6,2.1,5.5,1.4,1.9,3.1,11.5,1.9,0.8,2.4,1.6,3.7,15.7,.484,.376,.755,bambamo01
Desmond Bane,7.5,15.9,3.4,7.7,2.0,2.2,0.8,5.4,3.3,1.4,0.5,1.7,3.0,20.3,.471,.440,.885,banede01
Dalano Banton,4.7,10.9,0.9,3.1,1.6,2.5,1.9,6.6,4.9,1.4,0.6,2.6,3.3,12.0,.432,.295,.647,bantoda01
Cat Barber,5.6,13.0,1.7,4.9,2.3,3.8,1.6,6.8,4.0,1.1,0.7,2.1,2.9,15.3,.433,.354,.612,barbeca01
Harrison Barnes,5.4,11.5,1.9,4.8,4.1,5.0,1.1,6.1,2.8,0.7,0.2,1.6,1.4,16.9,.472,.389,.822,barneha02
Scottie Barnes,6.5,12.8,0.9,2.8,2.3,3.0,2.7,7.8,3.6,1.1,0.8,1.8,2.6,16.1,.505,.319,.748,barnesc01
RJ Barrett,7.1,16.6,2.0,5.3,3.9,5.3,1.0,6.2,3.2,0.7,0.3,2.1,2.3,20.1,.430,.367,.726,barrerj01
Will Barton,6.0,13.7,2.3,6.3,1.8,2.2,0.8,5.4,4.1,0.9,0.5,2.0,2.0,15.9,.433,.366,.791,bartowi01
Paris Bass,6.3,13.8,1.8,5.4,2.9,3.6,1.9,7.2,3.5,1.3,0.7,2.4,3.2,17.1,.452,.329,.802,basspa01
Charles Bassey,6.4,11.6,0.9,3.0,2.3,3.0,3.2,10.2,2.6,1.1,2.2,1.8,4.8,16.0,.550,.314,.772,bassech01
Keita Bates-Diop,5.2,10.4,0.9,2.8,1.9,2.6,2.1,8.1,1.8,1.1,0.6,1.6,2.3,13.2,.496,.324,.745,bateske01
Nicolas Batum,4.2,9.1,2.4,6.0,0.8,1.1,0.9,6.2,2.7,1.4,0.9,1.1,2.1,11.5,.455,.392,.738,batumni01
Kent Bazemore,4.2,10.5,1.9,5.1,1.5,2.1,0.8,5.7,2.6,1.7,0.8,1.9,4.3,11.8,.397,.372,.733,bazemke01
Darius Bazley,5.4,12.7,1.6,5.2,2.3,3.3,1.3,8.3,2.0,1.0,1.1,1.9,1.4,14.8,.426,.311,.707,bazleda01
Bradley Beal,9.6,20.7,2.0,6.0,5.3,6.2,1.1,4.8,5.6,1.0,0.4,3.2,2.4,26.6,.465,.329,.857,bealbr01
Malik Beasley,6.5,15.8,4.1,10.6,1.3,1.5,0.6,4.5,2.3,0.9,0.2,1.1,1.8,18.4,.412,.385,.823,beaslma01
Jordan Bell,5.4,11.9,1.3,3.8,2.2,3.1,2.3,8.2,3.3,1.2,1.1,2.2,3.2,14.3,.452,.347,.724,belljo01
DeAndre' Bembry,4.5,8.5,0.7,1.9,1.2,1.8,1.4,5.7,2.9,1.8,0.8,1.7,3.6,10.8,.525,.340,.653,bembrde01
Dāvis Bertāns,4.9,12.4,3.7,10.0,2.1,2.4,0.6,5.0,1.6,0.8,0.5,1.0,3.5,15.6,.394,.370,.864,bertada01
Patrick Beverley,4.3,10.5,2.1,5.9,2.0,2.8,1.5,5.8,5.5,1.5,1.1,1.8,4.3,12.7,.410,.353,.729,beverpa01
Saddiq Bey,5.9,14.5,2.9,8.1,2.7,3.3,1.3,6.1,2.9,1.0,0.3,1.2,1.8,17.5,.410,.365,.834,beysa01
Khem Birch,4.0,8.2,0.3,1.1,2.1,2.9,4.0,8.6,2.2,1.1,1.0,1.1,3.3,10.4,.487,.235,.723,birchkh01
Goga Bitadze,6.2,12.5,1.3,4.3,3.0,4.2,3.5,8.8,2.8,1.0,2.4,1.9,5.0,16.7,.498,.293,.713,bitadgo01
Bismack Biyombo,5.0,8.8,0.2,0.6,2.1,3.9,3.7,10.0,2.1,0.6,1.8,1.9,4.1,12.2,.562,.352,.538,biyombi01
Nemanja Bjelica,5.2,11.3,1.8,5.0,1.8,2.5,1.9,8.5,4.5,1.2,0.7,2.4,4.0,14.1,.461,.360,.738,bjeline01
Eric Bledsoe,5.4,12.8,1.7,5.1,2.4,3.3,0.7,4.8,5.4,1.4,0.5,2.6,2.2,14.9,.425,.326,.735,bledser01
Keljin Blevins,4.2,11.8,2.0,6.5,1.2,1.7,1.6,5.3,2.5,1.3,0.3,1.9,3.0,11.6,.357,.307,.680,blevike01
Bogdan Bogdanović,6.8,15.4,3.4,8.8,1.7,2.1,0.6,4.8,3.9,1.3,0.3,1.5,2.7,18.7,.441,.383,.832,bogdabo01
Bojan Bogdanović,6.9,15.4,3.0,7.7,3.7,4.3,0.9,4.8,2.2,0.6,0.1,2.1,2.0,20.4,.445,.385,.864,bogdabo02
Bol Bol,6.2,12.8,1.6,4.3,2.2,3.1,1.3,7.1,2.8,0.9,1.2,2.2,2.7,16.2,.487,.366,.694,bolbo01
Leandro Bolmaro,4.1,10.1,1.2,3.7,2.1,2.5,2.1,6.7,3.4,1.0,0.3,1.9,3.4,11.4,.404,.332,.815,bolmale01
Isaac Bonga,3.7,8.4,1.1,3.4,1.7,2.3,1.8,6.0,2.5,1.5,0.8,1.7,4.3,10.2,.439,.329,.753,bongais01
Devin Booker,9.9,20.7,2.5,6.7,5.1,5.9,0.7,5.0,5.1,1.0,0.4,2.8,2.8,27.4,.477,.373,.874,bookede01
Brandon Boston Jr.,6.1,14.9,1.7,5.2,2.8,3.4,1.0,5.7,2.7,1.2,0.6,1.5,2.1,16.7,.410,.327,.820,bostobr01
Chris Boucher,6.1,12.8,1.7,5.2,3.3,4.3,3.5,10.2,1.0,1.0,1.9,1.1,3.8,17.2,.477,.326,.779,bouchch01
James Bouknight,6.0,15.4,2.0,5.6,3.0,3.6,2.3,6.5,3.4,1.0,0.3,1.8,3.2,17.1,.393,.360,.846,bouknja01
Avery Bradley,4.1,9.7,2.0,5.5,0.6,0.8,0.8,3.7,1.7,1.3,0.3,1.2,3.1,10.8,.418,.371,.828,bradlav01
Tony Bradley,5.8,9.7,0.3,0.8,1.7,2.5,4.2,11.9,2.1,0.8,1.8,2.0,3.8,13.6,.600,.356,.695,bradlto01
Ignas Brazdeikis,5.6,12.6,1.8,5.4,1.7,2.4,1.6,5.5,2.8,0.8,0.3,1.4,3.1,14.7,.442,.333,.705,brazdig01
Mikal Bridges,5.7,10.6,1.6,4.2,1.7,2.1,1.0,4.6,2.4,1.2,0.6,0.9,2.0,14.7,.536,.389,.836,bridgmi01
Miles Bridges,7.1,14.3,2.0,5.7,2.9,3.6,1.3,7.2,3.5,0.9,0.9,1.9,2.5,19.1,.495,.354,.815,bridgmi02
Oshae Brissett,5.0,11.6,2.0,5.4,2.8,3.8,2.4,8.2,1.8,1.1,0.8,1.2,2.6,14.7,.432,.366,.719,brissos01
Malcolm Brogdon,7.5,16.8,2.1,6.0,3.5,4.1,1.1,5.6,6.3,0.9,0.4,2.3,2.2,20.6,.448,.346,.857,brogdma01
Armoni Brooks,4.8,12.6,3.2,9.9,1.0,1.2,0.9,4.8,2.7,1.1,0.5,1.3,2.9,13.7,.378,.327,.793,brookar01
Dillon Brooks,8.2,19.2,2.2,6.4,3.1,3.8,1.1,4.1,3.1,1.4,0.4,2.1,4.2,21.7,.427,.337,.827,brookdi01
Bruce Brown,5.4,10.5,0.7,2.0,2.1,2.7,2.1,7.4,3.2,1.5,0.9,1.3,3.5,13.5,.514,.374,.754,brownbr01
Charlie Brown Jr.,3.9,10.5,1.1,4.0,2.2,2.6,2.0,6.1,2.4,1.5,0.7,1.5,3.5,11.1,.372,.267,.844,brownch02
Chaundee Brown Jr.,5.1,12.3,2.0,5.6,2.3,2.8,1.1,6.3,2.8,1.0,0.4,1.4,2.7,14.5,.418,.352,.797,brownch05
Greg Brown III,5.0,11.2,1.3,3.8,2.6,3.6,2.1,7.6,2.4,1.4,1.2,2.0,4.5,13.8,.449,.336,.707,browngr01
Jaylen Brown,9.2,19.2,2.7,7.3,3.7,4.9,1.0,6.5,3.6,1.2,0.4,2.8,2.8,24.9,.481,.374,.760,brownja02
Moses Brown,6.2,11.2,0.3,0.9,3.5,5.6,4.6,13.5,0.9,1.0,1.6,1.9,4.1,16.3,.555,.371,.631,brownmo01
Sterling Brown,4.2,10.0,2.1,5.8,1.0,1.2,1.3,7.6,2.2,1.0,0.4,1.4,3.0,11.5,.420,.366,.836,brownst02
Troy Brown Jr.,4.4,10.0,1.6,4.5,1.2,1.5,1.4,7.2,2.6,1.2,0.3,1.2,2.4,11.5,.440,.355,.774,browntr01
Jalen Brunson,7.1,14.0,1.5,3.8,2.6,3.1,0.7,4.7,5.3,0.9,0.1,1.8,2.2,18.3,.507,.383,.827,brunsja01
Thomas Bryant,6.8,12.5,1.2,3.5,2.7,3.4,2.3,8.8,2.4,0.7,1.4,1.6,3.4,17.6,.546,.346,.802,bryanth01
Shaq Buchanan,6.0,13.2,1.8,5.3,2.4,3.1,1.7,6.7,3.9,1.3,0.7,2.3,2.9,16.1,.452,.330,.777,buchash01
Reggie Bullock,4.2,10.0,2.7,7.2,0.9,1.1,0.6,4.5,1.8,0.9,0.3,0.9,2.4,11.9,.416,.372,.842,bullore01
Trey Burke,6.3,15.3,2.2,6.3,1.9,2.2,0.6,3.1,4.0,1.2,0.2,1.7,2.8,16.7,.415,.342,.853,burketr01
Alec Burks,5.0,12.4,2.5,6.2,3.3,4.0,0.8,6.2,3.6,1.2,0.4,1.5,3.2,15.7,.401,.400,.831,burksal01
Jared Butler,6.2,14.4,2.6,7.6,1.6,2.1,0.8,5.3,5.6,1.6,0.8,2.8,4.0,16.6,.432,.336,.739,butleja02
Jimmy Butler,7.2,15.1,0.6,2.3,7.1,8.3,1.9,6.6,6.2,1.8,0.5,2.3,1.7,22.1,.477,.247,.860,butleji01
Devontae Cacok,6.2,11.4,0.9,2.6,2.0,2.9,2.3,9.6,2.5,1.7,1.3,1.6,3.5,15.4,.546,.360,.664,cacokde01
Kentavious Caldwell-Pope,5.2,11.8,2.3,6.0,2.0,2.3,0.7,3.9,2.3,1.2,0.4,1.4,2.2,14.7,.437,.392,.868,caldwke01
Facundo Campazzo,3.4,9.0,1.8,5.7,1.9,2.4,0.7,3.7,6.1,1.9,0.6,2.0,3.6,10.5,.376,.319,.804,campafa01
Vlatko Čančar,5.1,10.3,1.5,3.9,2.0,2.7,1.6,6.6,3.1,1.0,0.6,1.9,3.0,13.7,.495,.385,.732,cancavl01
Devin Cannady,5.1,12.3,2.8,7.1,2.0,2.7,0.8,4.1,2.9,1.3,0.7,1.6,2.8,14.9,.413,.389,.772,cannade01
Clint Capela,6.9,11.5,0.1,0.3,1.8,3.4,4.9,15.5,1.5,0.9,1.8,1.1,2.9,15.6,.599,.347,.527,capelca01
Vernon Carey Jr.,6.1,12.3,1.3,3.7,3.1,4.5,2.5,7.7,2.5,1.1,0.9,2.0,3.1,16.5,.495,.345,.674,careyve01
Jevon Carter,4.3,10.6,2.6,6.7,0.7,0.9,0.8,4.7,3.7,1.2,0.6,1.3,2.8,12.0,.409,.386,.792,carteje01
Wendell Carter Jr.,6.7,12.7,1.1,3.3,3.0,4.2,3.0,12.2,3.1,0.8,0.9,2.1,3.4,17.5,.527,.334,.717,cartewe01
Alex Caruso,3.7,8.8,1.4,4.1,1.8,2.4,1.0,4.8,4.8,2.0,0.5,1.9,3.2,10.6,.418,.355,.745,carusal01
Willie Cauley-Stein,4.8,8.7,0.4,1.2,1.6,2.5,2.4,8.8,2.0,1.1,1.4,1.4,4.3,11.5,.551,.321,.654,caulewi01
Ahmad Caver,6.3,13.3,1.9,5.2,2.5,3.3,1.5,6.6,3.7,1.1,0.7,2.0,2.9,17.0,.474,.357,.778,caverah01
Justin Champagnie,4.9,10.3,1.5,4.2,1.7,2.0,3.7,8.5,2.3,1.1,0.6,1.4,3.6,13.0,.476,.368,.865,champju01
Zylan Cheatham,5.8,13.1,1.7,5.2,2.4,3.1,1.5,6.5,3.5,1.1,0.7,2.1,3.1,15.8,.446,.329,.774,cheatzy01
Chris Chiozza,3.8,10.4,1.8,5.5,1.1,1.4,1.0,4.4,6.4,1.3,0.3,2.7,3.0,10.6,.369,.334,.770,chiozch01
Marquese Chriss,6.4,13.2,0.9,2.9,2.8,3.8,3.0,10.1,2.7,1.2,1.3,2.0,4.9,16.5,.485,.322,.724,chrisma01
Josh Christopher,6.2,13.4,1.6,5.1,2.3,3.1,1.5,5.3,4.1,1.7,0.4,2.9,2.6,16.4,.463,.314,.750,chrisjo01
Gary Clark,3.4,8.8,2.2,6.2,0.9,1.2,2.0,7.3,2.0,1.0,0.7,1.1,2.2,9.8,.381,.352,.761,clarkga01
Brandon Clarke,7.7,12.9,0.4,1.5,2.3,3.4,3.2,9.2,2.5,1.2,1.6,1.1,3.0,18.1,.595,.291,.684,clarkbr01
Jordan Clarkson,8.1,19.1,3.4,10.2,2.5,3.0,1.1,4.8,3.3,1.1,0.3,2.2,2.4,22.0,.423,.330,.842,clarkjo01
Nic Claxton,6.4,10.0,0.2,0.7,2.1,3.5,3.1,9.6,1.9,1.0,1.9,1.4,3.8,15.1,.640,.346,.588,claxtni01
Amir Coffey,4.9,10.8,2.2,5.7,2.4,2.8,0.7,4.7,2.9,0.9,0.3,1.2,2.2,14.4,.458,.385,.835,coffeam01
John Collins,7.8,14.4,1.5,4.0,3.1,3.8,2.2,9.2,2.0,0.7,1.2,1.5,3.5,20.2,.544,.383,.809,collijo01
Zach Collins,5.6,11.4,1.2,3.4,3.3,4.1,2.9,9.9,4.1,1.0,1.4,2.8,4.3,15.6,.488,.353,.798,colliza01
Darren Collison,5.2,12.0,1.5,4.8,2.0,2.6,1.2,6.0,3.3,1.1,0.6,1.9,3.3,14.0,.436,.309,.769,collida01
Mike Conley,6.1,14.3,2.9,7.3,2.4,3.0,0.9,4.0,6.5,1.6,0.3,2.3,2.5,17.6,.430,.398,.808,conlemi01
Pat Connaughton,4.6,10.1,2.7,7.0,1.0,1.2,1.2,6.5,2.0,1.2,0.4,0.9,2.0,12.8,.450,.382,.806,connapa01
Tyler Cook,5.3,9.2,0.6,1.5,2.6,4.0,2.3,8.2,1.8,0.8,0.5,1.6,3.6,13.8,.577,.371,.648,cookty01
Sharife Cooper,5.6,13.0,1.7,5.2,2.1,2.7,1.3,6.4,4.0,0.9,0.6,2.5,2.5,15.0,.429,.329,.784,coopesh01
Petr Cornelie,5.8,13.3,1.7,5.7,2.6,3.4,2.5,7.9,3.5,1.1,0.8,2.4,3.6,16.0,.438,.298,.771,cornepe01
DeMarcus Cousins,7.0,15.6,2.0,6.2,3.9,5.2,3.1,12.4,3.6,1.6,1.0,3.7,6.0,19.9,.447,.320,.752,couside01
Robert Covington,3.9,9.4,2.3,6.2,1.1,1.4,1.1,7.3,1.8,1.8,1.5,1.4,3.4,11.2,.414,.368,.817,covinro01
Torrey Craig,4.6,10.2,1.7,5.1,1.0,1.3,2.0,7.2,2.1,1.1,0.9,1.4,3.5,11.9,.455,.334,.743,craigto01
Jae Crowder,4.3,10.7,2.6,7.3,1.4,1.8,0.7,6.6,2.6,1.5,0.6,1.2,3.1,12.6,.401,.356,.776,crowdja01
Jarrett Culver,5.6,13.4,1.4,4.8,1.9,3.3,1.8,6.1,2.9,1.6,0.7,2.0,3.7,14.4,.415,.292,.563,culveja01
Jarron Cumberland,5.9,12.7,1.7,5.1,2.4,3.1,1.7,6.9,3.7,1.1,0.7,1.9,3.1,16.0,.468,.345,.778,cumbeja01
Cade Cunningham,7.5,17.4,2.0,6.1,2.5,3.0,1.1,6.3,6.1,1.4,0.8,3.8,3.3,19.5,.432,.329,.847,cunnica01
Seth Curry,6.0,12.5,2.7,6.3,1.5,1.7,0.4,3.4,3.6,0.9,0.2,1.7,2.4,16.1,.478,.425,.863,curryse01
Stephen Curry,9.2,20.5,4.7,12.3,4.8,5.3,0.6,5.6,6.2,1.3,0.3,3.4,2.1,27.9,.447,.387,.915,curryst01
Anthony Davis,9.2,17.9,0.7,2.6,4.9,6.5,2.4,9.5,3.3,1.3,2.1,2.2,2.4,23.9,.513,.258,.746,davisan02
Ed Davis,3.3,6.8,0.5,1.5,1.5,2.4,3.1,10.7,2.3,1.0,1.3,1.3,5.4,8.6,.486,.355,.634,davised01
Terence Davis,6.9,15.7,3.1,8.6,2.0,2.4,0.9,6.1,3.0,1.5,0.6,2.1,3.8,18.8,.438,.358,.819,daviste02
Gabriel Deck,5.8,11.9,1.3,3.9,2.3,2.9,1.7,6.2,3.7,1.1,0.4,1.6,2.2,15.1,.484,.331,.796,deckga01
Dewayne Dedmon,5.6,10.5,0.8,2.3,2.5,3.3,3.3,12.2,1.8,0.9,1.3,2.4,5.7,14.5,.540,.342,.752,dedmode01
Sam Dekker,6.0,13.1,1.8,5.2,2.5,3.2,1.5,6.6,3.7,1.1,0.7,2.0,2.9,16.4,.461,.353,.774,dekkesa01
Javin DeLaurier,6.0,12.9,1.9,5.1,2.5,3.2,1.5,6.8,3.7,1.4,0.7,2.0,3.0,16.5,.469,.361,.780,delauja01
DeMar DeRozan,9.3,18.6,0.6,1.7,6.5,7.5,0.7,5.1,5.5,0.9,0.3,2.3,2.4,25.6,.498,.328,.871,derozde01
Mamadi Diakite,5.2,10.8,0.8,2.8,2.0,2.8,2.4,9.1,2.0,1.2,1.3,1.5,4.6,13.2,.482,.279,.704,diakima01
Cheick Diallo,6.1,12.0,1.1,3.1,3.0,3.7,2.1,8.5,2.7,1.1,0.7,2.1,3.8,16.3,.505,.361,.811,diallch01
Hamidou Diallo,7.0,14.3,0.8,2.7,2.9,4.4,1.9,7.8,2.4,1.7,0.6,1.8,3.9,17.8,.494,.295,.659,diallha01
Gorgui Dieng,5.4,11.4,2.2,5.5,2.6,3.3,2.7,10.0,3.1,1.4,1.2,2.0,4.2,15.6,.475,.399,.792,dienggo01
Spencer Dinwiddie,5.8,14.0,2.0,6.1,3.8,4.9,0.8,5.1,6.3,0.8,0.3,2.1,2.8,17.5,.418,.334,.776,dinwisp01
Donte DiVincenzo,4.8,12.1,2.5,7.0,1.8,2.3,1.5,6.9,4.1,1.6,0.3,2.2,2.4,14.0,.401,.359,.799,divindo01
Luka Dončić,10.2,21.4,3.1,8.7,5.8,7.7,1.0,9.2,8.9,1.1,0.6,4.3,2.3,29.2,.474,.358,.750,doncilu01
Luguentz Dort,6.2,15.0,2.7,7.8,3.2,3.9,0.9,4.7,2.1,1.1,0.4,1.8,3.2,18.2,.411,.344,.817,dortlu01
Ayo Dosunmu,4.9,9.4,1.3,3.3,1.0,1.5,0.6,3.9,4.4,1.1,0.5,1.8,3.0,12.2,.523,.383,.704,dosunay01
Damyean Dotson,5.1,12.0,1.9,6.1,1.3,1.8,0.5,4.4,3.4,0.8,0.3,1.6,1.9,13.3,.423,.316,.710,dotsoda01
Devon Dotson,5.9,12.3,1.5,4.7,2.2,3.2,1.2,5.6,4.7,1.1,0.4,1.9,3.3,15.5,.483,.312,.702,dotsode01
Sekou Doumbouya,5.1,12.0,1.4,4.8,2.1,2.9,1.6,6.3,2.2,1.2,0.6,1.9,3.5,13.6,.421,.284,.731,doumbse01
Jeff Dowtin,4.8,11.4,1.3,4.3,1.8,2.3,2.0,6.5,3.6,1.4,0.6,1.9,2.4,12.7,.421,.293,.805,dowtije01
PJ Dozier,4.8,11.7,1.6,5.0,1.5,2.1,1.3,6.3,3.3,1.1,0.7,1.6,3.1,12.8,.414,.327,.704,doziepj01
Goran Dragić,5.7,13.7,2.0,6.0,2.7,3.3,0.8,4.6,5.8,1.0,0.3,2.9,3.1,16.0,.416,.335,.801,dragigo01
